label,hex,type,colour
6,#73160D,layer,dark_brown
7,#301404,layer,very_dark_brown
layer_1,#F9F0D9,layer,cream
layer_2,#F0DDBA,layer,tan
layer_3,#F18A43,layer,orange
layer_4,#C57C43,layer,brown
layer_5,#9E4E1C,layer,dark_brown
layer_6,#73160D,layer,dark_brown
layer_7,#301404,layer,very_dark_brown
other,#4D4D4D,misc,dark_grey
unclear,#B3B3B3,misc,light_grey
none,#B3B3B3,misc,light_grey
uncertain,#878787,misc,grey
unknown,#B3B3B3,misc,light_grey
unclear,#B3B3B3,misc,light_grey
chosen,#000000,misc,black
cell_type,#4D4D4D,misc,dark_grey
right,#963DA8,misc,purple
fafb_right,#EE4244,misc,red
fafb_left,#8FDA06,misc,lime_green
left,#31D64D,misc,green
midline,#54BCD1,misc,sky_blue
soft,#B3B3B3,misc,light_grey
missing,#FFFFFF,misc,white
TRUE,#EFC7E6,misc,pink
ROUGHLY_PROOFREAD,#FF986C,misc,fuchsia
FALSE,#B3B3B3,misc,light_grey
MISSING,#B3B3B3,misc,light_grey
LAMINA,#6B6B6B,misc,dark_grey
ambiguous,#A1D8EB,misc,light_blue
Ambiguous,#A1D8EB,misc,light_blue
MATCHED,#1BB6AF,misc,teal
NA,#B3B3B3,misc,light_grey
UNMATCHED,#B3B3B3,misc,light_grey
center,#54BCD1,misc,sky_blue
hygrosensory,#F5E27E,modality,pale_yellow
thermosensory,#F39A13,modality,orange
visual_chromatic,#59578B,modality,purple_grey
visual_achromatic,#7C7F90,modality,blue_grey
haltere,#E28F69,modality,peach
ocellar,#F1DDBB,modality,beige
enteric_gustatory,#B0D989,modality,light_green
gustatory,#85BD4A,modality,green
gustation,#85BD4A,modality,green
chemosensory,#8FD40D,modality,lime_green
visceral_circulatory,#F1DDBB,modality,beige
endocrine,#F1DDBB,modality,beige
sensory_ascending,#B0D989,modality,light_green
tactile,#FF1493,super_cluster,deep_pink
proprioceptive,#1BB6AF,super_cluster,teal
johnstons_organ_other,#121B56,modality,navy_blue
johnstons_organ,#121B56,modality,navy_blue
wind_gravity,#1186CB,modality,blue
wind,#1186CB,modality,blue
gravity,#1186CB,modality,blue
grooming,#EE4244,modality,cerise
mechanosensory,#1FA99F,modality,teal
auditory,#46AFC6,modality,sky_blue
ciberial_mechanosensory_neuron,#46AFC6,modality,sky_blue
ciberial_mechanosensory,#46AFC6,modality,sky_blue
optic_transfer,#52aee3,flow,sky_blue
optic_lobe_intrinsic,#52aee3,super_class,sky_blue
optic_lobes,#1BB6AF,region,teal
optic,#1BB6AF,region,teal
SPZ,#EE4244,region,red
spz,#EE4244,region,red
central_brain,#EE4244,region,red
brain,#EE4244,region,red
midbrain,#EE4244,region,red
GNG,#8A865D,region,olive
gng,#8A865D,region,olive
SEZ,#8A865D,region,olive
sez,#8A865D,region,olive
neck,#A1467F,region,purple
neck_connective,#A1467F,region,purple
undetermined,#B3B3B3,region,light_grey
optic_lobe,#1BB6AF,region,teal
central_brain,#EE4244,region,red
gnathal_ganglion,#8A865D,region,olive
suboesophageal_zone,#9e958a,region,latte
accessory_pharyngeal_nerve_sensory_group1,#87CEEB,modality,sky_blue
accessory_pharyngeal_nerve_sensory_group2,#DAA520,modality,gold
pharyngeal_nerve_sensory_group2,#8B0000,modality,dark_red
low-salt,#9400D3,modality,violet
sugar/water,#32CD32,modality,lime_green
taste peg,#FF1493,modality,deep_pink
bitter,#FF4500,modality,orange_red
complete,#8FDA06,status,lime_green
adequate,#8FDA06,status,lime_green
proofread,#8FDA06,status,lime_green
unassessed,#EE4244,status,red
incomplete,#EE4244,status,red
"MATCHED,PROOFREAD",#54BCD1,status,sky_blue
"MATCHED,PROOFREAD,TRACING_ISSUE",#1BB6AF,status,teal
"MATCHED,NOT_PROOFREAD",#FC6882,status,pink
"MATCHED,NOT_PROOFREAD,TRACING_ISSUE",#C70E7B,status,magenta
PROOFREAD,#8FDA04,status,lime_green
"PROOFREAD,TRACING_ISSUE",#FBBB48,status,golden_yellow
TRACING_ISSUE,#EF7C12,status,orange
NOT_PROOFREAD,#EE4244,status,red
"NOT_PROOFREAD,TRACING_ISSUE",#C23A4B,status,dark_red
TOO_SMALL,#B3B3B3,status,light_grey
ALIGNMENT,#009F3F,status,green
NBLAST,#FBBB48,status,golden_yellow
vnc,#8FD40D,region,lime_green
ventral_nerve_cord,#8FD40D,region,lime_green
ascending,#089c39,super_class,regular_green
central_complex_output,#54BCD1,super_class,light blue
central_complex,#2a5f75,super_class,regal_blue
clock,#9E4D1C,super_class,brown
efferent_ascending,#6A6E09,super_class,green-brown
glia,#e1ad01,super_class,yellow
lateral_horn,#FFD700,super_class,gold
mushroom_body,#800080,super_class,pink
optic,#1BB6AF,super_class,teal
sensory,#EBEF37,super_class,yellow
visual_centrifugal,#121B56,super_class,navy_blue
visual_projection,#3E437E,super_class,blue_grey
vnc_central_other,#8FD40D,super_class,lime_green
vnc_endocrine,#9E4D1C,super_class,brown
vnc_motor_neuron,#39AC1F,super_class,green
ascending_neuron,#8FDA04,super_class,lime_green
ventral_nerve_cord,#8FD40D,super_class,lime_green
circadian_neuron,#9E4D1C,super_class,brown
ascending_visceral_circulatory,#6A6E09,super_class,green-brown
ventral_nerve_cord_intrinsic,#8FD40D,super_class,lime_green
ventral_nerve_cord_visceral_circulatory,#9E4D1C,super_class,brown
ventral_nerve_cord_motor,#39AC1F,super_class,green
pre,#D72000,synapse,red
post,#132157,synapse,navy_blue
ach,#EB5D25,transmitter,orange_red
neuropeptide,#9e958a,transmitter,latte
peptide,#9e958a,transmitter,latte
peptidergic,#9e958a,transmitter,latte
acetylcoline,#EB5D25,transmitter,orange_red
acetylcholine,#EB5D25,transmitter,orange_red
Vglut,#00A67D,transmitter,teal
glut,#00A67D,transmitter,teal
glutamate,#00A67D,transmitter,teal
gaba,#2A68AE,transmitter,blue
GABA,#2A68AE,transmitter,blue
serotonin,#D5A848,transmitter,gold
dopamine,#B87969,transmitter,brown
neither,#4D4D4D,transmitter,dark_grey
octopamine,#725C98,transmitter,purple
tyramine,#B56FCC,transmitter,lavender
histamine,#2a5f75,transmitter,regal_blue
axon_acetylcholine,#8c3816,transmitter,dark_red
axon_glutamate,#007356,transmitter,dark_green
axon_gaba,#1d497a,transmitter,blue
dendrite_acetylcholine,#ff6629,transmitter,orange
dendrite_glutamate,#00ffbf,transmitter,cyan
dendrite_gaba,#3d99ff,transmitter,blue
aversion,#D72000,modality,red
aversive,#D72000,modality,red
feeding-ingestion,#009F3F,super_cluster,green
taste-touch,#0a5728,super_cluster,green
feeding,#009F3F,super_cluster,green
reproduction,#FC6882,super_cluster,pink
limb-coordination,#9e958a,super_cluster,latte
walking,#9e958a,super_cluster,latte
flight power,#8f7059,super_cluster,beaver
head-leg-tactile,#FF1493,super_cluster,deep_pink
tactile perception,#FF1493,super_cluster,deep_pink
proprioceptive perception,#1BB6AF,super_cluster,teal
threat response,#ae0000,super_cluster,deep_red
walking steering,#FBBB48,super_cluster,golden_yellow
takeoff-landing,#8A2BE2,super_cluster,blue_violet
landing,#8A2BE2,super_cluster,blue_violet
probing,#60BC5B,super_cluster,light_green
visceral control,#6D2C7B,super_cluster,purple
flight steering 2,#046785,super_cluster,dark_turquoise
flight steering 1,#FF6347,super_cluster,tomato
head and eye,#A1D8EB,super_cluster,light_blue
head orienting,#A1D8EB,super_cluster,light_blue
head and eye orienting,#A1D8EB,super_cluster,light_blue
grooming,#32CD32,super_cluster,lime_green
flight steering ,#00CED1,modality,dark_turquoise
wing-leg-tactile,#FBBB48,modality,golden yellow
noxious-touch,#FBBB48,modality,golden yellow
vibratory,#B56FCC,modality,lavender
vibro-tactile,#B56FCC,modality,lavender
escape,#ae0000,modality,deep_red
1,#000000,neck_cluster,black
2,#4D4D4D,neck_cluster,dark_grey
3,#F4B95A,neck_cluster,peach
4,#F1DDBB,neck_cluster,beige
5,#AF6125,neck_cluster,brown
6,#D72000,neck_cluster,red
7,#FC5A50,neck_cluster,coral
8,#EF5834,neck_cluster,orange_red
9,#F58B42,neck_cluster,orange
10,#F39A13,neck_cluster,orange
11,#F0E442,neck_cluster,yellow
12,#FBBB48,neck_cluster,golden_yellow
13,#F0E442,neck_cluster,yellow
14,#F5E27E,neck_cluster,pale_yellow
15,#85BD4A,neck_cluster,green
16,#527D5B,neck_cluster,dark_green
17,#009F3F,neck_cluster,green
18,#1BB6AF,neck_cluster,teal
19,#1FA99F,neck_cluster,teal
20,#132157,neck_cluster,navy_blue
21,#1186CB,neck_cluster,blue
22,#54BCD1,neck_cluster,sky_blue
23,#A1D8EB,neck_cluster,light_blue
24,#6D2C7B,neck_cluster,purple
25,#963DA8,neck_cluster,purple
26,#B56FCC,neck_cluster,lavender
27,#EFC7E6,neck_cluster,pink
short,#EE4244,range,cerise
medium,#B3B3B3,range,lightgrey
long,#1BB6AF,range,long
highlight,#EE4244,misc,cerise
accent,#FC6882,misc,pink
EFF_01,#F4B95A,efferent_cluster,peach
EFF_02,#F1DDBB,efferent_cluster,beige
EFF_03,#AF6125,efferent_cluster,brown
EFF_04,#D72000,efferent_cluster,red
EFF_05,#FC5A50,efferent_cluster,coral
EFF_06,#EF5834,efferent_cluster,orange_red
EFF_07,#F58B42,efferent_cluster,orange
EFF_08,#F39A13,efferent_cluster,orange
EFF_09,#F0E442,efferent_cluster,yellow
EFF_10,#FBBB48,efferent_cluster,golden_yellow
EFF_11,#F0E442,efferent_cluster,yellow
EFF_12,#F5E27E,efferent_cluster,pale_yellow
EFF_13,#85BD4A,efferent_cluster,green
EFF_14,#527D5B,efferent_cluster,dark_green
EFF_15,#009F3F,efferent_cluster,green
EFF_16,#1BB6AF,efferent_cluster,teal
EFF_17,#1FA99F,efferent_cluster,teal
EFF_18,#132157,efferent_cluster,navy_blue
EFF_19,#1186CB,efferent_cluster,blue
EFF_20,#54BCD1,efferent_cluster,sky_blue
EFF_21,#A1D8EB,efferent_cluster,light_blue
EFF_22,#6D2C7B,efferent_cluster,purple
EFF_23,#963DA8,efferent_cluster,purple
EFF_24,#B56FCC,efferent_cluster,lavender
EFF_25,#EFC7E6,efferent_cluster,pink
octopaminergic,#725C98,cell_function,purple
ocellar,#54BCD1,cell_function,sky_blue
neuromodulatory,#9e958a,cell_function,latte
steering,#FBBB48,cell_function,golden_yellow
walking,#9e958a,cell_function,latte
wing_vibration,#4169E1,cell_function,royal_blue
reproduction,#FC6882,cell_function,pink
hunger,#afa13a,cell_function,dusk_yellow
flight,#FF6347,cell_function,royal_blue
abdomen_motion,#74c1a1,cell_function,pale_green
escape_takeoff,#ae0000,modality,deep_red
flight 10,#046785,braun_cluster,dark_turquoise
flight 4,#EF7C12,braun_cluster,orange
unknown 5,#60BC5B,braun_cluster,light_green
unknown 14,#9e958a,braun_cluster,latte
unknown 6,#1BB6AF,braun_cluster,teal
proprioception,#1BB6AF,cns_network,light blue
takeoff-landing,#4D4D4D,cns_network,dark_grey
feeding-energy,#F4B95A,cns_network,peach
navigation guidance,#EF7C12,cns_network,orange
lateral-superior brain,#FC5A50,cns_network,coral
walking-halting,#F58B42,cns_network,orange
olfactory-right,#F39A13,cns_network,orange
multisensory,#F0E442,cns_network,yellow
abdomen,#FBBB48,cns_network,golden_yellow
olfaction-learning-left,#009F3F,cns_network,green
wing-head-steering,#1BB6AF,cns_network,teal
orienting-speed,#132157,cns_network,navy_blue
compass cues,#54BCD1,cns_network,sky_blue
medial-superior brain,#7D8091,cns_network,blue_grey
navigation drives,#963DA8,cns_network,purple
leg-proboscis,#EFC7E6,cns_network,pink
identified,#EFC7E6,completion,pink
double_identified,#EFC7E6,completion,pink
pre_identified,#D72000,completion,red
post_identified,#54BCD1,completion,sky_blue
unidentified,#B3B3B3,completion,lightgrey
nblast,#8F92A1,comparison,blue_grey
matched by morphology,#CC79A7,comparison,rose
matched by connectivity,#54BCD1,comparison,sky_blue
matched_by_morphology,#CC79A7,comparison,rose
matched_by_connectivity,#54BCD1,comparison,sky_blue
type changed,#EF7C12,comparison,tangerine
type did not change,#1BB6AF,comparison,teal
Connectivity match better,#54BCD1,review,sky_blue
Morphology match better,#CC79A7,review,rose
All wrong,#EF7C12,review,tangerine
isomorphic,#54BCD1,dimorphism,sky_blue
dimorphic,#EF7C12,dimorphism,tangerine
female-specific,#CC79A7,dimorphism,rose
male-specific,#1186CB,dimorphism,blue
connectivity != nblast,#54BCD1,comparison,sky_blue
morphology != nblast,#CC79A7,comparison,rose
morphology != connectivity,#EF7C12,comparison,tangerine
agree,#1BB6AF,agreement,teal
disagree,#EF7C12,agreement,tangerine
manc_cell_type,#8FD40D,dataset_field,lime_green
malecns_cell_type,#389636,dataset_field,dark_green
hemilineage,#1BB6AF,dataset_field,teal
brain/other,#EE4244,region,red
unlabelled,#B3B3B3,dimorphism,light_grey
abdomen-positioning,#3CB371,eff_super_cluster,medium_sea_green
abdomen-ureter,#20B2AA,eff_super_cluster,light_sea_green
energy homeostasis,#DAA520,eff_super_cluster,goldenrod
ingestion-digestion,#CD5C5C,eff_super_cluster,indian_red
abdomen-reproductive,#7B68EE,eff_super_cluster,medium_slate_blue
abdomen motor 1,#2E8B57,eff_super_cluster,sea_green
middle-hind leg,#CC7722,eff_super_cluster,ochre
proboscis-antenna,#DB7093,eff_super_cluster,pale_violet_red
head-eye-antenna,#9370DB,eff_super_cluster,medium_purple
flight-steering,#4682B4,eff_super_cluster,steel_blue
flight-energy-power,#1E3A5F,eff_super_cluster,dark_navy
thoracic-abdominal,#708090,eff_super_cluster,slate_gray
abdomen motor 2,#6B8E23,eff_super_cluster,olive_drab
feeding-endocrine,#B8860B,eff_super_cluster,dark_goldenrod
